cbb_id,player,school,season,conf_abbr,class,height,weight,rsci,pos,games,games_started,mp,fg3_per_min,fg3_pct,ft_pct,efg_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pts_per_min,per,ts_pct,usg_pct,ws,obpm,dbpm,bpm,team_sos,team_srs
kyle-singler-1,Kyle Singler,duke,2010-11,,SR,6-8,230,6 (2007),F,37,37,1286,1.9,0.321,0.806,0.491,7.9,1.9,1.1,0.4,2.2,19.4,20.0,0.536,24.7,6.1,4.6,1.8,6.4,8.31,24.5
nolan-smith-1,Nolan Smith,duke,2010-11,,SR,6-2,185,18 (2007),G,37,37,1259,1.8,0.35,0.813,0.508,5.3,6.0,1.4,0.1,3.7,24.3,25.7,0.564,30.7,7.4,7.5,2.3,9.9,8.31,24.5
mason-plumlee-1,Mason Plumlee,duke,2010-11,,SO,6-10,235,18 (2009),F,37,31,960,0.0,0.0,0.441,0.589,13.0,2.4,1.5,2.6,3.0,11.0,18.9,0.566,15.6,4.0,2.5,5.4,7.9,8.31,24.5
seth-curry-1,Seth Curry,duke,2010-11,,SO,6-2,185,,G,37,19,924,2.8,0.435,0.788,0.556,2.9,3.2,2.3,0.2,1.5,14.4,17.6,0.596,16.5,4.3,4.3,4.8,9.2,8.31,24.5
andre-dawkins-1,Andre Dawkins,duke,2010-11,,SO,6-5,215,,G,37,7,778,3.3,0.427,0.791,0.635,3.6,1.1,1.1,0.2,1.4,15.3,15.7,0.652,16.0,3.3,4.2,2.8,7.0,8.31,24.5
ryan-kelly-3,Ryan Kelly,duke,2010-11,,SO,6-11,230,14 (2009),F,37,27,743,1.2,0.319,0.805,0.576,7.4,1.7,1.3,2.7,1.6,13.2,19.0,0.602,15.3,3.4,4.0,5.3,9.2,8.31,24.5
miles-plumlee-1,Miles Plumlee,duke,2010-11,,JR,6-10,245,81 (2008),F,37,16,617,0.0,,0.593,0.522,11.5,0.9,1.3,1.1,2.1,11.4,15.7,0.538,15.5,2.5,0.7,2.9,3.6,8.31,24.5
tyler-thornton-1,Tyler Thornton,duke,2010-11,,FR,6-2,190,,G,34,3,337,0.5,0.267,0.839,0.517,2.6,3.9,1.9,0.1,2.6,6.6,8.2,0.64,9.5,0.9,-2.7,4.9,2.2,8.31,24.5
kyrie-irving-1,Kyrie Irving,duke,2010-11,,FR,6-2,180,2 (2010),G,11,8,303,2.4,0.462,0.901,0.615,4.9,6.2,2.1,0.8,3.6,25.3,32.5,0.697,26.4,2.4,9.8,5.0,14.8,8.31,24.5
josh-hairston-1,Josh Hairston,duke,2010-11,,FR,6-8,235,32 (2010),F,27,0,165,0.0,,0.565,0.361,8.0,0.7,1.0,0.2,1.9,9.5,8.0,0.416,16.2,0.4,-3.7,1.2,-2.5,8.31,24.5
casey-peters-1,Casey Peters,duke,2010-11,,SR,6-4,200,,G,10,0,17,0.0,,,,7.1,0.0,2.4,0.0,0.0,0.0,6.7,,0.0,0.0,-1.7,7.7,6.0,8.31,24.5
todd-zafirovski-1,Todd Zafirovski,duke,2010-11,,SO,6-9,245,,F,5,0,11,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3,0.0,4.4,0.0,-6.8,0.4,-6.4,8.31,24.5
austin-rivers-1,Austin Rivers,duke,2011-12,,FR,6-4,200,2 (2011),G,34,33,1129,2.1,0.365,0.658,0.505,4.1,2.5,1.2,0.0,2.8,18.7,16.9,0.538,25.2,3.5,3.2,0.8,4.0,8.4,17.05
seth-curry-1,Seth Curry,duke,2011-12,,JR,6-2,185,,G,34,32,1026,2.5,0.383,0.873,0.515,3.5,3.2,1.7,0.3,2.7,17.5,18.6,0.573,22.5,3.9,4.9,2.0,6.9,8.4,17.05
mason-plumlee-1,Mason Plumlee,duke,2011-12,,JR,6-10,235,18 (2009),F,34,31,964,0.0,,0.528,0.572,12.9,2.3,1.1,2.3,3.1,15.7,23.1,0.568,21.1,4.1,4.3,3.1,7.4,8.4,17.05
ryan-kelly-3,Ryan Kelly,duke,2011-12,,JR,6-11,230,14 (2009),F,31,19,803,2.0,0.408,0.807,0.527,8.3,1.7,1.2,1.5,2.1,18.3,23.2,0.597,21.8,4.0,6.3,2.4,8.7,8.4,17.05
andre-dawkins-1,Andre Dawkins,duke,2011-12,,JR,6-5,215,,G,34,14,760,3.5,0.392,0.739,0.546,3.7,1.1,0.7,0.1,1.4,15.0,13.4,0.566,18.3,2.2,3.3,0.6,3.9,8.4,17.05
tyler-thornton-1,Tyler Thornton,duke,2011-12,,SO,6-2,190,,G,34,19,717,1.5,0.351,0.75,0.51,3.5,3.8,1.7,0.0,1.9,7.7,10.1,0.557,11.0,1.8,0.4,3.4,3.8,8.4,17.05
miles-plumlee-1,Miles Plumlee,duke,2011-12,,SR,6-10,245,81 (2008),F,34,16,697,0.0,,0.632,0.61,13.9,1.0,1.0,1.8,2.4,13.0,21.8,0.621,16.1,3.1,4.1,2.1,6.2,8.4,17.05
quinn-cook-1,Quinn Cook,duke,2011-12,,FR,6-2,185,31 (2011),G,33,4,387,1.4,0.25,0.776,0.466,3.5,6.5,1.4,0.2,1.9,15.1,19.4,0.524,20.3,1.6,4.2,1.3,5.6,8.4,17.05
josh-hairston-1,Josh Hairston,duke,2011-12,,SO,6-8,235,32 (2010),F,29,2,246,0.0,0.0,0.667,0.449,6.8,0.8,0.7,0.7,2.4,12.7,11.1,0.485,19.4,0.5,-2.3,-0.2,-2.5,8.4,17.05
michael-gbinije-1,Michael Gbinije,duke,2011-12,,FR,6-7,200,28 (2011),F,19,0,111,1.4,0.4,1.0,0.65,5.8,1.1,1.1,0.4,2.9,11.9,12.3,0.707,14.1,0.3,-0.1,1.5,1.4,8.4,17.05
todd-zafirovski-1,Todd Zafirovski,duke,2011-12,,JR,6-9,245,,F,5,0,10,0.0,,,0.0,8.0,4.0,0.0,4.0,4.0,0.0,-4.3,0.0,15.0,0.0,-8.8,2.2,-6.7,8.4,17.05
mason-plumlee-1,Mason Plumlee,duke,2012-13,,SR,6-10,235,18 (2009),F,36,36,1248,0.0,,0.681,0.599,11.5,2.2,1.2,1.7,3.3,19.7,26.3,0.628,24.5,6.9,5.9,3.6,9.5,9.57,21.45
quinn-cook-1,Quinn Cook,duke,2012-13,,SO,6-2,185,31 (2011),G,36,34,1208,1.8,0.393,0.877,0.492,4.6,6.3,1.7,0.2,2.6,13.9,17.4,0.529,20.3,4.5,3.7,2.9,6.6,9.57,21.45
seth-curry-1,Seth Curry,duke,2012-13,,SR,6-2,185,,G,35,35,1130,3.4,0.438,0.809,0.577,3.2,1.9,1.1,0.2,1.5,21.7,22.7,0.617,24.5,5.7,8.0,1.8,9.8,9.57,21.45
rasheed-sulaimon-1,Rasheed Sulaimon,duke,2012-13,,FR,6-5,195,12 (2012),G,36,33,1050,1.9,0.371,0.802,0.5,4.6,2.6,1.0,0.1,1.7,15.8,16.2,0.55,20.8,3.8,3.4,2.0,5.4,9.57,21.45
tyler-thornton-1,Tyler Thornton,duke,2012-13,,JR,6-2,190,,G,36,6,791,1.6,0.392,0.68,0.559,4.1,4.0,2.3,0.2,1.9,6.6,10.7,0.576,9.8,2.2,1.0,5.6,6.5,9.57,21.45
ryan-kelly-3,Ryan Kelly,duke,2012-13,,SR,6-11,230,14 (2009),F,23,23,664,2.1,0.422,0.812,0.535,7.3,2.3,1.0,2.2,1.4,17.8,23.5,0.586,21.4,3.5,7.2,4.0,11.1,9.57,21.45
josh-hairston-1,Josh Hairston,duke,2012-13,,JR,6-8,235,32 (2010),F,35,6,444,0.0,0.0,0.692,0.45,6.6,0.7,0.5,0.5,1.7,8.1,6.7,0.487,12.9,0.8,-3.1,1.7,-1.4,9.57,21.45
amile-jefferson-1,Amile Jefferson,duke,2012-13,,FR,6-9,215,21 (2012),F,32,7,405,0.0,,0.61,0.543,9.1,0.7,1.2,1.6,1.2,12.5,17.9,0.56,16.0,1.7,2.3,2.6,4.9,9.57,21.45
