Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
7,Giannis Antetokounmpo,MIL,"$54,126,450","$58,456,566","$62,786,682",,,,"$112,583,016"
27,OG Anunoby,NYK,"$39,568,966","$42,500,000","$45,431,034","$48,362,068",,,"$127,500,000"
38,LaMelo Ball,CHO,"$37,958,760","$40,770,520","$43,582,280","$46,394,040",,,"$168,705,600"
40,Bam Adebayo,MIA,"$37,096,620","$49,800,000","$53,784,000","$57,768,000",,,"$140,680,620"
70,Deandre Ayton,POR,"$33,654,814","$8,104,000",,,,,"$25,550,814"
91,Jarrett Allen,CLE,"$20,000,000","$28,000,000","$30,240,000","$32,480,000",,,"$110,720,000"
100,Santi Aldama,MEM,"$18,485,916","$17,007,043","$17,007,043",,,,"$35,492,959"
109,Grayson Allen,PHO,"$16,875,000","$18,125,000","$19,375,000",,,,"$35,000,000"
116,Nickeil Alexander-Walker,ATL,"$15,161,800","$14,403,710","$15,161,800","$15,919,890",,,"$44,727,310"
122,Deni Avdija,POR,"$14,375,000","$13,125,000","$11,875,000",,,,"$39,375,000"
124,Steven Adams,HOU,"$14,130,434","$13,000,000","$11,869,566",,,,"$39,000,000"
176,Lonzo Ball,UTA,"$10,000,000",,,,,,"$10,000,000"
182,Kyle Anderson,MEM,"$9,219,512",,,,,,"$9,219,512"
184,Ace Bailey,UTA,"$9,069,840","$9,523,080","$9,976,560","$12,640,302",,,"$18,592,920"
201,Deandre Ayton,LAL,"$33,654,814","$8,104,000",,,,,"$8,104,000"
227,Ochai Agbaji,BRK,"$6,383,525",,,,,,"$6,383,525"
275,Jose Alvarado,NYK,"$4,500,000","$4,500,000",,,,,"$4,500,000"
293,Cole Anthony,MEM,"$5,996,274","$3,700,000","$3,700,000",,,,"$11,100,000"
372,Cole Anthony,PHO,"$5,996,274","$3,700,000","$3,700,000",,,,"$2,296,274"
382,Thanasis Antetokounmpo,MIL,"$2,296,274",,,,,,"$2,296,274"
392,Marvin Bagley III,DAL,"$2,296,274",,,,,,"$2,296,274"
421,Precious Achiuwa,SAC,"$2,111,516",,,,,,"$2,111,516"
487,Mo Bamba,TOR,"$458,711",,,,,,"$194,771"
498,Mo Bamba,UTA,"$458,711",,,,,,"$263,940"
499,Mo Bamba,UTA,"$458,711",,,,,,"$263,940"
508,Patrick Baldwin Jr.,PHI,"$263,940",,,,,,"$131,970"
513,Patrick Baldwin Jr.,LAC,"$263,940",,,,,,"$131,970"
518,Adama-Alpha Bal,MEM,"$117,045",,,,,,"$117,045"
527,Adama-Alpha Bal,MEM,"$117,045",,,,,,"$117,045"
