draft_year,pick,team,player_name,bbr_id,college,career_years,career_games,career_mp,career_pts,career_trb,career_ast,career_fg_pct,career_3p_pct,career_ft_pct,pg_mp,pg_pts,pg_trb,pg_ast,win_shares,ws_per_48,bpm,vorp
1986,1,CLE,Brad Daugherty,daughbr01,UNC,8.0,548.0,20029.0,10389.0,5227.0,2028.0,0.532,0.143,0.747,36.5,19.0,9.5,3.7,65.2,0.156,2.2,21.3
1986,2,BOS,Len Bias,biasle01,Maryland,,,,,,,,,,,,,,,,,
1986,3,GSW,Chris Washburn,washbch01,NC State,2.0,72.0,645.0,222.0,176.0,22.0,0.412,0.0,0.439,9.0,3.1,2.4,0.3,-0.6,-0.046,-7.4,-0.9
1986,4,IND,Chuck Person,persoch01,Auburn,13.0,943.0,28941.0,13858.0,4763.0,2645.0,0.458,0.362,0.723,30.7,14.7,5.1,2.8,38.9,0.065,-0.7,9.2
1986,5,NYK,Kenny Walker,walkeke01,Kentucky,7.0,448.0,9050.0,3128.0,1793.0,299.0,0.485,0.206,0.749,20.2,7.0,4.0,0.7,17.9,0.095,-1.8,0.6
1986,6,PHO,William Bedford,bedfowi01,Memphis,6.0,238.0,2514.0,964.0,573.0,109.0,0.416,0.318,0.605,10.6,4.1,2.4,0.5,0.9,0.017,-4.8,-1.8
1986,7,DAL,Roy Tarpley,tarplro01,Michigan,6.0,280.0,7476.0,3533.0,2803.0,292.0,0.483,0.176,0.744,26.7,12.6,10.0,1.0,19.8,0.127,-0.2,3.4
1986,8,CLE,Ron Harper,harpero01,Miami University,15.0,1009.0,31199.0,13910.0,4309.0,3916.0,0.446,0.289,0.72,30.9,13.8,4.3,3.9,65.8,0.101,1.9,30.3
1986,9,CHI,Brad Sellers,sellebr01,Ohio State,6.0,398.0,7154.0,2509.0,1064.0,435.0,0.452,0.2,0.793,18.0,6.3,2.7,1.1,9.8,0.066,-2.2,-0.4
1986,10,SAS,Johnny Dawkins,dawkijo01,Duke,9.0,541.0,14859.0,5984.0,1336.0,2997.0,0.456,0.33,0.857,27.5,11.1,2.5,5.5,21.8,0.07,-0.9,4.2
1986,11,DET,John Salley,sallejo01,Georgia Tech,11.0,748.0,16524.0,5228.0,3356.0,916.0,0.506,0.214,0.714,22.1,7.0,4.5,1.2,41.5,0.121,0.5,10.5
1986,12,WSB,John Williams,willijo02,LSU,8.0,435.0,10952.0,4406.0,2201.0,1262.0,0.451,0.225,0.704,25.2,10.1,5.1,2.9,19.9,0.087,1.2,8.8
1986,13,NJN,Pearl Washington,washipe01,Syracuse,3.0,194.0,4044.0,1660.0,370.0,733.0,0.452,0.184,0.746,20.8,8.6,1.9,3.8,1.9,0.023,-1.7,0.3
1986,14,POR,Walter Berry,berrywa01,St. John's,3.0,205.0,4863.0,2882.0,971.0,292.0,0.539,0.2,0.638,23.7,14.1,4.7,1.4,8.2,0.081,-1.0,1.2
1986,15,UTA,Dell Curry,curryde01,Virginia Tech,16.0,1083.0,23549.0,12670.0,2617.0,1909.0,0.457,0.402,0.843,21.7,11.7,2.4,1.8,41.5,0.085,0.9,17.1
1986,16,DEN,Maurice Martin,martima01,Saint Joseph's,2.0,69.0,422.0,204.0,65.0,49.0,0.378,0.211,0.598,6.1,3.0,0.9,0.7,-0.3,-0.033,-6.0,-0.4
1986,17,SAC,Harold Pressley,pressha01,Villanova,4.0,299.0,6802.0,2702.0,1339.0,628.0,0.437,0.358,0.778,22.7,9.0,4.5,2.1,10.0,0.07,0.3,4.0
1986,18,DEN,Mark Alarie,alarima01,Duke,5.0,325.0,5500.0,2432.0,1120.0,363.0,0.475,0.252,0.775,16.9,7.5,3.4,1.1,8.4,0.073,-2.3,-0.5
1986,19,ATL,Billy Thompson,thompbi01,Louisville,6.0,300.0,6697.0,2566.0,1615.0,514.0,0.505,0.154,0.674,22.3,8.6,5.4,1.7,9.6,0.069,-1.3,1.2
1986,20,HOU,Buck Johnson,johnsbu01,Alabama,7.0,505.0,11849.0,4617.0,1760.0,856.0,0.488,0.113,0.738,23.5,9.1,3.5,1.7,20.8,0.084,-1.4,1.7
1986,21,WSB,Anthony Jones,jonesan01,UNLV,3.0,164.0,1704.0,594.0,214.0,119.0,0.393,0.306,0.74,10.4,3.6,1.3,0.7,0.8,0.022,-2.8,-0.3
1986,22,MIL,Scott Skiles,skilesc01,Michigan State,10.0,600.0,16789.0,6652.0,1526.0,3881.0,0.435,0.379,0.889,28.0,11.1,2.5,6.5,30.4,0.087,-0.4,6.7
1986,23,LAL,Ken Barlow,barloke01,Notre Dame,,,,,,,,,,,,,,,,,
1986,24,POR,Arvydas Sabonis,sabonar01,,7.0,470.0,11375.0,5629.0,3436.0,964.0,0.5,0.328,0.786,24.2,12.0,7.3,2.1,47.3,0.2,4.4,18.4
1986,25,DAL,Mark Price,pricema01,Georgia Tech,12.0,722.0,21560.0,10989.0,1848.0,4863.0,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,0.158,3.7,31.1
1986,26,IND,Greg Dreiling,dreilgr01,Kansas,10.0,474.0,4241.0,1014.0,1018.0,186.0,0.467,0.333,0.649,8.9,2.1,2.1,0.4,4.0,0.045,-5.3,-3.5
1986,27,DET,Dennis Rodman,rodmade01,Southeastern Oklahoma State University,14.0,911.0,28839.0,6683.0,11954.0,1600.0,0.521,0.231,0.584,31.7,7.3,13.1,1.8,89.8,0.15,0.9,21.0
1986,28,CHI,Larry Krystkowiak,krystla01,Montana,9.0,420.0,9097.0,3425.0,2051.0,513.0,0.457,0.139,0.795,21.7,8.2,4.9,1.2,15.6,0.082,-2.7,-1.6
1986,29,CLE,Johnny Newman,newmajo01,Richmond,16.0,1159.0,28435.0,12740.0,2536.0,1688.0,0.461,0.336,0.81,24.5,11.0,2.2,1.5,50.3,0.085,-1.6,2.9
1986,30,SEA,Nate McMillan,mcmilna01,NC State,12.0,796.0,20462.0,4733.0,3222.0,4893.0,0.443,0.343,0.65,25.7,5.9,4.0,6.1,50.2,0.118,3.3,27.2
1986,31,PHO,Joe Ward,wardjo01,Georgia,,,,,,,,,,,,,,,,,
1986,32,ATL,Cedric Henderson,hendece01,Georgia,1.0,8.0,16.0,11.0,8.0,0.0,0.5,,1.0,2.0,1.4,1.0,0.0,0.0,-0.015,-8.6,0.0
1986,33,SAS,Kevin Duckworth,duckwke01,Eastern Illinois University,11.0,684.0,17462.0,8085.0,3945.0,598.0,0.468,0.208,0.736,25.5,11.8,5.8,0.9,24.7,0.068,-3.8,-7.6
1986,34,SAC,Johnny Rogers,rogerjo01,"University of California, Irvine",2.0,69.0,636.0,251.0,104.0,29.0,0.472,0.0,0.679,9.2,3.6,1.5,0.4,0.4,0.032,-4.8,-0.4
1986,35,DAL,Milt Wagner,wagnemi01,Louisville,2.0,53.0,496.0,215.0,35.0,76.0,0.422,0.296,0.875,9.4,4.1,0.7,1.4,0.4,0.039,-4.0,-0.2
1986,36,WSB,Steve Mitchell,mitchst02,UAB,,,,,,,,,,,,,,,,,
1986,37,POR,Panagiotis Fasoulas,fasoupa01,NC State,,,,,,,,,,,,,,,,,
1986,38,SEA,Lemone Lampley,lamplle01,DePaul,,,,,,,,,,,,,,,,,
1986,39,PHO,Rafael Addison,addisra01,Syracuse,6.0,379.0,5697.0,2186.0,780.0,339.0,0.449,0.282,0.772,15.0,5.8,2.1,0.9,4.9,0.041,-3.8,-2.5
1986,40,ATL,Augusto Binelli,binelau01,,,,,,,,,,,,,,,,,,
1986,41,DEN,Otis Smith,smithot01,Jacksonville University,6.0,375.0,7720.0,3951.0,1416.0,690.0,0.455,0.251,0.762,20.6,10.5,3.8,1.8,12.3,0.076,0.2,4.2
1986,42,ATL,Ron Kellogg,kelloro01,Kansas,,,,,,,,,,,,,,,,,
1986,43,HOU,Dave Feitl,feitlda01,Texas-El Paso,5.0,275.0,3001.0,1192.0,815.0,125.0,0.433,0.0,0.751,10.9,4.3,3.0,0.5,1.4,0.022,-5.8,-2.9
1986,44,PHI,David Wingate,wingada01,Georgetown,15.0,740.0,13243.0,4166.0,1420.0,1376.0,0.445,0.272,0.738,17.9,5.6,1.9,1.9,11.7,0.042,-2.4,-1.2
1986,45,MIL,Keith Smith,smithke03,Loyola Marymount,1.0,42.0,461.0,138.0,32.0,43.0,0.38,0.333,0.75,11.0,3.3,0.8,1.0,0.0,-0.003,-5.5,-0.4
1986,46,PHO,Jeff Hornacek,hornaje01,Iowa State,14.0,1077.0,33964.0,15659.0,3646.0,5281.0,0.496,0.403,0.877,31.5,14.5,3.4,4.9,108.9,0.154,2.9,42.1
1986,47,NYK,Michael Jackson,jacksmi02,Georgetown,3.0,89.0,888.0,188.0,70.0,198.0,0.369,0.273,0.675,10.0,2.1,0.8,2.2,-0.2,-0.011,-4.8,-0.6
1986,48,SAS,Forrest McKenzie,mckenfo01,Loyola Marymount,1.0,6.0,42.0,17.0,7.0,1.0,0.25,0.5,1.0,7.0,2.8,1.2,0.2,-0.2,-0.223,-16.8,-0.2
1986,49,POR,Juden Smith,smithju01,Texas-El Paso,,,,,,,,,,,,,,,,,
1986,50,CLE,Kevin Henderson,hendeke01,Cal State Fullerton,2.0,22.0,235.0,65.0,24.0,34.0,0.393,0.0,0.607,10.7,3.0,1.1,1.5,-0.2,-0.038,-6.4,-0.3
1986,51,GSW,Mike Williams,willimi03,Bradley,1.0,21.0,102.0,15.0,23.0,2.0,0.333,0.0,0.5,4.9,0.7,1.1,0.1,0.0,0.012,-7.4,-0.1
1986,52,CHI,Ricky Wilson,wilsori02,George Mason,1.0,24.0,420.0,125.0,27.0,69.0,0.391,0.385,0.725,17.5,5.2,1.1,2.9,0.3,0.032,-2.6,-0.1
1986,53,SEA,Tod Murphy,murphto01,"University of California, Irvine",5.0,191.0,4071.0,1049.0,941.0,183.0,0.454,0.29,0.679,21.3,5.5,4.9,1.0,8.0,0.095,-1.5,0.6
1986,54,LAC,Dwayne Polee,poleedw01,Pepperdine,1.0,1.0,6.0,2.0,0.0,0.0,0.25,0.0,,6.0,2.0,0.0,0.0,0.0,-0.397,-22.3,0.0
1986,55,PHO,Kenny Gattison,gattike01,Old Dominion,9.0,494.0,9927.0,3923.0,2327.0,444.0,0.52,0.083,0.649,20.1,7.9,4.7,0.9,16.9,0.082,-2.4,-1.1
1986,56,PHI,Keith Colbert,colbeke01,Virginia Tech,,,,,,,,,,,,,,,,,
1986,57,SAC,Bruce Douglas,douglbr01,Illinois,1.0,8.0,98.0,14.0,14.0,17.0,0.292,0.0,0.0,12.3,1.8,1.8,2.1,-0.2,-0.082,-3.0,0.0
1986,58,WSB,Dave Henderson,hendeda01,Duke,1.0,22.0,351.0,126.0,35.0,34.0,0.405,0.0,0.681,16.0,5.7,1.6,1.5,-0.4,-0.058,-7.1,-0.4
1986,59,GSW,Wendell Alexis,alexiwe01,Syracuse,,,,,,,,,,,,,,,,,
1986,60,POR,Dražen Petrović,petrodr01,,4.0,290.0,7669.0,4461.0,669.0,701.0,0.506,0.437,0.841,26.4,15.4,2.3,2.4,21.5,0.134,0.8,5.4
1986,61,UTA,John Shasky,shaskjo01,Minnesota,3.0,136.0,1505.0,517.0,379.0,34.0,0.466,0.0,0.655,11.1,3.8,2.8,0.3,2.5,0.079,-3.4,-0.5
1986,62,DAL,Anthony Welch,welchan01,Illinois,,,,,,,,,,,,,,,,,
1986,63,UTA,Bill Breeding,breedbi01,Rocky Mountain College,,,,,,,,,,,,,,,,,
1986,64,DEN,Don Redden,reddedo01,LSU,,,,,,,,,,,,,,,,,
1986,65,ATL,Dave Hoppen,hoppeda01,Nebraska,6.0,169.0,2401.0,837.0,647.0,100.0,0.518,0.2,0.751,14.2,5.0,3.8,0.6,3.6,0.072,-4.2,-1.4
1986,66,HOU,Anthony Bowie,bowiean01,Oklahoma,8.0,461.0,8349.0,2945.0,1021.0,840.0,0.475,0.318,0.824,18.1,6.4,2.2,1.8,12.3,0.07,-1.3,1.4
1986,67,PHI,Ron Rowan,rowanro01,St. John's,1.0,7.0,16.0,12.0,1.0,1.0,0.444,1.0,0.75,2.3,1.7,0.1,0.1,0.0,0.084,8.5,0.0
1986,68,MIL,Baskerville Holmes,holmeba01,Memphis,,,,,,,,,,,,,,,,,
1986,69,LAL,Andre Turner,turnean01,Memphis,6.0,170.0,2523.0,767.0,263.0,535.0,0.422,0.237,0.764,14.8,4.5,1.5,3.1,1.8,0.034,-2.3,-0.2
1986,70,ATL,Jim Les,lesji01,Bradley,7.0,321.0,4222.0,1210.0,396.0,930.0,0.397,0.396,0.818,13.2,3.8,1.2,2.9,8.1,0.092,-0.7,1.4
1986,71,NYK,Calvin Thompson,thompca01,Kansas,,,,,,,,,,,,,,,,,
1986,72,IND,Derrick Taylor,taylode02,LSU,,,,,,,,,,,,,,,,,
1986,73,CLE,Warren Martin,martiwa01,UNC,,,,,,,,,,,,,,,,,
1986,74,CHI,Scott Meents,meentsc01,Illinois,2.0,39.0,201.0,72.0,40.0,15.0,0.361,1.0,0.704,5.2,1.8,1.0,0.4,0.1,0.017,-1.6,0.0
1986,75,GSW,Dan Bingenheimer,bingeda01,Missouri,,,,,,,,,,,,,,,,,
1986,76,SEA,Michael Graham,grahami02,Georgetown,,,,,,,,,,,,,,,,,
