codigo_liga,codigo_temporada,codigo_franquia,nome_franquia,posicao,vitorias,derrotas,empates,pontos,sequencia_vitorias,saldo_vitorias
24,81,534,Rondonópolis Lobo-Guará,1,0,0,0,0.0,0,0
24,81,533,Green Cinnamon,2,0,0,0,0.0,0,0
24,81,532,Partizan Beagá,3,0,0,0,0.0,0,0
24,81,531,Pupunha Cabana Basketball,4,0,0,0,0.0,0,0
24,81,530,SantoSpurs,5,0,0,0,0.0,0,0
24,81,529,Marujos Basqueteiros,6,0,0,0,0.0,0,0
24,81,528,Lobos Comunistas,7,0,0,0,0.0,0,0
24,81,527,Minnesota TimberLaion,8,0,0,0,0.0,0,0
24,81,526,Fox&Furious,9,0,0,0,0.0,0,0
24,81,525,Kush City Dope,10,0,0,0,0.0,0,0
24,81,524,Elfos do Natal,11,0,0,0,0.0,0,0
24,81,523,Capão da Canoa Sandkings,12,0,0,0,0.0,0,0
24,81,522,Vasconha Basquete,13,0,0,0,0.0,0,0
24,81,521,São Paulo Galaxy,14,0,0,0,0.0,0,0
24,81,520,Nadal Net Guardians,15,0,0,0,0.0,0,0
24,81,519,Pass2will,16,0,0,0,0.0,0,0
24,81,518,Namekusei BallerZ,17,0,0,0,0.0,0,0
24,81,517,Baião of two,18,0,0,0,0.0,0,0
24,81,516,Havana Comrades,19,0,0,0,0.0,0,0
24,81,515,Victory Village,20,0,0,0,0.0,0,0
24,81,514,Baurulhos Dinosaurs,21,0,0,0,0.0,0,0
24,81,513,JF Bagres,22,0,0,0,0.0,0,0
24,81,512,King's Landing Kingslayers,23,0,0,0,0.0,0,0
24,81,511,Blank Space Jam,24,0,0,0,0.0,0,0
