bbr_id,player_name,career_games,pg_pts,pg_trb,pg_ast,pg_stl,pg_blk,pg_fg3,pg_tov
adebaba01,Bam Adebayo,,16.2,9.0,3.6,1.1,0.8,0.4,2.1
agbajoc01,Ochai Agbaji,,7.2,2.7,1.1,0.6,0.4,1.1,0.7
allengr01,Grayson Allen,,11.2,3.0,2.2,0.8,0.3,2.2,1.1
anigbik01,Ike Anigbogu,,0.9,0.9,0.1,0.1,0.3,0.0,0.2
anthoco01,Cole Anthony,,12.0,4.1,3.8,0.7,0.4,1.3,1.9
azubuud01,Udoka Azubuike,,3.0,2.8,0.2,0.1,0.4,0.0,0.4
baglema01,Marvin Bagley III,,11.8,6.5,1.0,0.5,0.6,0.4,1.1
baileam01,Amari Bailey,,2.3,0.9,0.7,0.3,0.0,0.1,0.4
balllo01,Lonzo Ball,,10.6,5.3,5.6,1.5,0.6,2.2,2.3
banchpa01,Paolo Banchero,,22.3,7.4,4.8,0.8,0.6,1.4,3.0
boldejo01,Jonah Bolden,,4.3,3.4,0.8,0.4,0.8,0.7,0.7
bonaad01,Adem Bona,,5.3,4.3,0.5,0.4,1.2,0.0,0.9
bostobr01,Brandon Boston Jr.,,7.5,2.2,1.2,0.7,0.2,0.7,0.8
bradlto01,Tony Bradley,,4.3,3.8,0.5,0.2,0.5,0.0,0.5
braunch01,Christian Braun,,9.6,3.9,1.8,0.7,0.4,0.8,0.8
breako01,Koby Brea,,3.8,0.7,0.8,0.1,0.0,1.1,0.3
careyve01,Vernon Carey Jr.,,1.9,1.4,0.1,0.1,0.2,0.0,0.3
cartewe01,Wendell Carter Jr.,,11.9,8.1,2.0,0.7,0.7,0.8,1.5
clarkbr01,Brandon Clarke,,10.2,5.5,1.3,0.7,0.8,0.2,0.7
clarkja02,Jaylen Clark,,4.1,1.6,0.6,0.8,0.1,0.5,0.3
colliza01,Zach Collins,,8.0,4.9,1.8,0.4,0.7,0.6,1.4
diallch01,Cheick Diallo,,5.2,4.1,0.4,0.3,0.4,0.0,0.6
diallha01,Hamidou Diallo,,8.6,3.8,1.1,0.8,0.3,0.3,1.1
dickgr01,Gradey Dick,,9.2,2.5,1.1,0.7,0.1,1.4,0.9
dilliro01,Rob Dillingham,,5.5,1.6,2.1,0.6,0.1,0.6,1.3
filipky01,Kyle Filipowski,,10.5,6.7,2.3,0.8,0.4,1.0,1.5
flaggco01,Cooper Flagg,,21.0,6.7,4.5,1.2,0.9,1.0,2.3
foxde01,De'Aaron Fox,,21.1,3.9,6.1,1.4,0.4,1.6,2.7
furphjo01,Johnny Furphy,,3.3,2.6,0.7,0.4,0.2,0.4,0.5
gilesha01,Harry Giles,,5.4,3.5,1.1,0.4,0.3,0.1,0.9
gilgesh01,Shai Gilgeous-Alexander,,25.3,4.7,5.3,1.4,0.8,1.4,2.3
grahade01,Devonte' Graham,,11.1,2.3,4.3,0.8,0.2,2.3,1.4
griffaj01,AJ Griffin,,7.5,1.9,0.8,0.5,0.2,1.2,0.5
hachiru01,Rui Hachimura,,12.6,4.6,1.2,0.6,0.3,1.2,0.8
herroty01,Tyler Herro,,19.5,5.0,4.1,0.7,0.2,2.7,2.2
holidaa01,Aaron Holiday,,6.4,1.5,1.9,0.6,0.2,1.0,0.8
holmgch01,Chet Holmgren,,16.5,8.3,2.1,0.7,2.1,1.4,1.6
ingrabr01,Brandon Ingram,,19.8,5.2,4.2,0.7,0.6,1.4,2.5
ingraha01,Harrison Ingram,,1.3,1.0,0.3,0.3,0.0,0.1,0.2
jacksfr01,Frank Jackson,,8.5,1.8,1.0,0.4,0.1,1.2,0.8
jacksis01,Isaiah Jackson,,7.1,4.5,0.8,0.6,1.2,0.0,0.9
jacksjo02,Josh Jackson,,11.3,4.0,1.8,0.9,0.6,0.9,1.8
jacksju01,Justin Jackson,,6.0,2.3,1.0,0.3,0.2,0.8,0.4
jamessi01,Sion James,,5.4,3.5,2.0,0.6,0.2,1.0,0.8
jaqueja01,Jaime Jaquez Jr.,,12.1,4.4,3.3,0.9,0.3,0.7,1.7
johnsbr02,Brice Johnson,,2.2,1.6,0.1,0.5,0.3,0.0,0.3
johnsca02,Cameron Johnson,,12.8,3.9,2.0,0.8,0.3,2.3,0.9
johnsja05,Jalen Johnson,,14.2,7.4,4.0,1.0,0.6,1.0,2.0
johnske04,Keldon Johnson,,15.1,5.4,2.0,0.7,0.2,1.5,1.2
jonestr01,Tre Jones,,9.4,2.8,4.8,0.9,0.1,0.5,1.1
keelstr01,Trevor Keels,,1.0,0.4,0.0,0.1,0.0,0.3,0.0
kennalu01,Luke Kennard,,9.6,2.8,2.3,0.6,0.1,1.9,0.9
kesslwa01,Walker Kessler,,9.5,9.3,1.2,0.5,2.4,0.1,1.1
kispeco01,Corey Kispert,,10.7,2.7,1.5,0.4,0.2,1.9,0.9
knoxke01,Kevin Knox,,7.3,2.8,0.7,0.4,0.3,1.1,0.8
knuepko01,Kon Knueppel,,18.5,5.3,3.4,0.7,0.2,3.4,2.0
littlna01,Nassir Little,,5.5,2.9,0.7,0.3,0.4,0.7,0.5
livelde01,Dereck Lively II,,8.4,7.0,1.6,0.6,1.5,0.0,1.0
livinch01,Chris Livingston,,1.4,1.3,0.2,0.2,0.0,0.0,0.2
maluakh01,Khaman Maluach,,3.0,2.9,0.1,0.1,0.7,0.1,0.5
maxeyty01,Tyrese Maxey,,21.1,3.2,4.8,1.1,0.4,2.4,1.6
mccaija01,Jared McCain,,10.1,2.1,1.7,0.6,0.1,1.7,1.0
mcculke01,Kevin McCullar Jr.,,2.2,1.4,0.9,0.4,0.0,0.3,0.5
monkma01,Malik Monk,,12.3,2.6,3.1,0.6,0.3,1.8,1.6
moorewe01,Wendell Moore Jr.,,2.3,1.4,0.7,0.4,0.1,0.2,0.4
murraja01,Jamal Murray,,18.9,3.8,5.0,1.0,0.4,2.3,2.1
