game_date,team,opponent,game_result,games_started,minutes_played,FG,FGA,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,game_score,plus_minus,home_away,minutes_decimal,bbr_id,player_name,season
2025-10-22,MIL,WAS,"W, 133-120",*,26:45,16,26,.615,1,3,.333,15,23,.652,.635,4,7,.571,2,12,14,5,0,0,2,4,37,28.9,10,home,26.75,antetgi01,Giannis Antetokounmpo,2025-26
2025-10-24,MIL,TOR,"W, 122-116",*,37:36,11,14,.786,2,2,1.000,9,12,.750,.857,7,12,.583,7,13,20,7,0,1,5,2,31,32.2,18,away,37.6,antetgi01,Giannis Antetokounmpo,2025-26
2025-10-26,MIL,CLE,"L, 113-118",*,33:18,14,20,.700,1,1,1.000,13,19,.684,.725,11,16,.688,5,9,14,9,2,2,2,1,40,43.1,-5,away,33.3,antetgi01,Giannis Antetokounmpo,2025-26
2025-10-28,MIL,NYK,"W, 121-111",*,33:10,16,22,.727,0,1,.000,16,21,.762,.727,5,7,.714,2,6,8,7,1,2,4,3,37,32.5,18,home,33.166666666666664,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-01,MIL,SAC,"L, 133-135",*,32:11,8,13,.615,1,1,1.000,7,12,.583,.654,9,14,.643,4,7,11,8,1,1,1,3,26,28.1,-1,home,32.18333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-03,MIL,IND,"W, 117-115",*,31:44,14,21,.667,1,2,.500,13,19,.684,.690,4,9,.444,5,8,13,5,2,0,3,4,33,28.7,8,away,31.73333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-04,MIL,TOR,"L, 100-128",*,23:43,9,14,.643,0,0,,9,14,.643,.643,4,6,.667,3,5,8,3,0,1,1,3,22,19.2,-8,away,23.716666666666665,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-07,MIL,CHI,"W, 126-110",*,37:17,16,32,.500,1,3,.333,15,29,.517,.516,8,11,.727,4,11,15,9,2,2,4,1,41,35.2,16,home,37.28333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-09,MIL,HOU,"L, 115-122",*,35:38,14,25,.560,0,1,.000,14,24,.583,.560,9,14,.643,4,4,8,3,0,1,3,0,37,26.9,0,home,35.63333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-10,MIL,DAL,"W, 116-114",*,37:23,11,18,.611,1,2,.500,10,16,.625,.639,7,12,.583,3,5,8,6,1,3,5,5,30,23.7,12,away,37.38333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-14,MIL,CHO,"W, 147-134 (OT)",*,40:24,12,18,.667,0,1,.000,12,17,.706,.667,1,3,.333,2,5,7,18,2,1,7,3,25,26.4,18,home,40.4,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-15,MIL,LAL,"L, 95-119",*,31:35,9,15,.600,1,1,1.000,8,14,.571,.633,13,18,.722,5,5,10,5,0,1,5,3,32,26.1,-12,home,31.58333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-17,MIL,CLE,"L, 106-118",*,13:00,6,10,.600,0,0,,6,10,.600,.600,2,3,.667,2,3,5,4,1,0,4,2,14,10.3,0,away,13.0,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-28,MIL,NYK,"L, 109-118",*,28:05,10,14,.714,0,2,.000,10,12,.833,.714,10,14,.714,2,13,15,8,1,0,3,5,30,29.5,2,away,28.08333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-11-29,MIL,BRK,"W, 116-99",*,18:59,12,15,.800,1,2,.500,11,13,.846,.833,4,8,.500,3,5,8,2,2,0,2,2,29,25.9,27,home,18.98333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-12-01,MIL,WAS,"L, 126-129",*,31:36,10,17,.588,0,1,.000,10,16,.625,.588,6,11,.545,3,4,7,4,1,1,5,6,26,16.5,-2,away,31.6,antetgi01,Giannis Antetokounmpo,2025-26
2025-12-03,MIL,DET,"W, 113-109",*,03:00,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,1,0,0,0,0,2,3.0,-6,home,3.0,antetgi01,Giannis Antetokounmpo,2025-26
2025-12-27,MIL,CHI,"W, 112-103",*,24:42,10,15,.667,1,3,.333,9,12,.750,.700,8,10,.800,1,7,8,1,1,1,2,2,29,24.1,13,away,24.7,antetgi01,Giannis Antetokounmpo,2025-26
2025-12-29,MIL,CHO,"W, 123-113",*,25:17,11,16,.688,0,1,.000,11,15,.733,.688,2,4,.500,2,2,4,7,1,0,2,3,24,21.1,4,away,25.28333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2025-12-31,MIL,WAS,"L, 113-114",*,28:25,12,21,.571,0,1,.000,12,20,.600,.571,9,14,.643,5,10,15,3,0,0,6,3,33,22.5,-4,home,28.416666666666668,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-02,MIL,CHO,"W, 122-121",*,29:50,11,18,.611,0,0,,11,18,.611,.611,8,8,1.000,2,8,10,5,1,0,3,1,30,26.7,21,home,29.83333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-04,MIL,SAC,"W, 115-98",*,31:37,13,17,.765,0,0,,13,17,.765,.765,11,13,.846,3,8,11,1,0,0,3,2,37,30.9,17,away,31.616666666666667,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-07,MIL,GSW,"L, 113-120",*,30:56,15,22,.682,2,4,.500,13,18,.722,.727,2,7,.286,2,8,10,5,0,0,2,4,34,26.3,3,away,30.933333333333334,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-09,MIL,LAL,"W, 105-101",*,30:48,9,11,.818,0,0,,9,11,.818,.818,3,4,.750,4,2,6,5,2,2,4,2,21,22.0,6,away,30.8,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-11,MIL,DEN,"L, 104-108",*,33:00,10,17,.588,1,3,.333,9,14,.643,.618,10,14,.714,1,7,8,11,1,2,2,3,31,31.2,16,away,33.0,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-13,MIL,MIN,"L, 106-139",*,30:59,9,13,.692,0,1,.000,9,12,.750,.692,7,14,.500,0,8,8,5,1,0,7,4,25,15.0,-11,home,30.98333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-15,MIL,SAS,"L, 101-119",*,22:00,7,12,.583,1,1,1.000,6,11,.545,.625,6,9,.667,2,3,5,1,2,0,3,1,21,15.8,-31,away,22.0,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-19,MIL,ATL,"W, 112-110",*,29:37,7,12,.583,0,1,.000,7,11,.636,.583,7,12,.583,3,14,17,6,1,1,3,3,21,21.4,-8,away,29.616666666666667,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-21,MIL,OKC,"L, 102-122",*,31:29,8,11,.727,0,0,,8,11,.727,.727,3,6,.500,2,12,14,7,1,0,3,2,19,20.4,-11,home,31.48333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2026-01-23,MIL,DEN,"L, 100-102",*,32:10,4,8,.500,0,0,,4,8,.500,.500,14,16,.875,1,12,13,7,0,0,4,1,22,22.0,6,home,32.166666666666664,antetgi01,Giannis Antetokounmpo,2025-26
2026-03-02,MIL,BOS,"L, 81-108",*,25:29,7,18,.389,0,2,.000,7,16,.438,.389,5,7,.714,4,7,11,2,0,1,3,1,19,12.0,-16,home,25.48333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2026-03-04,MIL,ATL,"L, 113-131",*,26:13,10,15,.667,0,0,,10,15,.667,.667,4,8,.500,1,4,5,4,1,0,2,0,24,19.6,-24,home,26.216666666666665,antetgi01,Giannis Antetokounmpo,2025-26
2026-03-07,MIL,UTA,"W, 113-99",*,27:02,9,14,.643,0,2,.000,9,12,.750,.643,9,15,.600,1,8,9,8,4,0,2,1,27,28.7,23,home,27.03333333333333,antetgi01,Giannis Antetokounmpo,2025-26
2026-03-10,MIL,PHO,"L, 114-129",*,31:58,10,18,.556,0,1,.000,10,17,.588,.556,2,5,.400,2,4,6,3,1,0,4,3,22,12.7,-12,home,31.966666666666665,antetgi01,Giannis Antetokounmpo,2025-26
