Player,Age,Team,Pos,season,bbr_id
Giannis Antetokounmpo,31,MIL,PF,2025-26,antetgi01
Deni Avdija,25,POR,SF,2025-26,avdijde01
Nickeil Alexander-Walker,27,ATL,SG,2025-26,alexani01
Bam Adebayo,28,MIA,C,2025-26,adebaba01
LaMelo Ball,24,CHO,PG,2025-26,ballla01
OG Anunoby,28,NYK,PF,2025-26,anunoog01
Grayson Allen,30,PHO,SG,2025-26,allengr01
Jarrett Allen,27,CLE,C,2025-26,allenja01
Santi Aldama,25,MEM,PF,2025-26,aldamsa01
Ace Bailey,19,UTA,SF,2025-26,baileac01
Deandre Ayton,27,LAL,C,2025-26,aytonde01
Marvin Bagley III,26,2TM,PF,2025-26,baglema01
Marvin Bagley III,26,WAS,PF,2025-26,baglema01
Marvin Bagley III,26,DAL,PF,2025-26,baglema01
Adama-Alpha Bal,22,MEM,SG,2025-26,balad01
Precious Achiuwa,26,SAC,C,2025-26,achiupr01
Jose Alvarado,27,2TM,PG,2025-26,alvarjo01
Jose Alvarado,27,NOP,PG,2025-26,alvarjo01
Jose Alvarado,27,NYK,PG,2025-26,alvarjo01
Cole Anthony,25,MIL,PG,2025-26,anthoco01
Kyle Anderson,32,3TM,SF,2025-26,anderky01
Kyle Anderson,32,UTA,SF,2025-26,anderky01
Kyle Anderson,32,MEM,SF,2025-26,anderky01
Kyle Anderson,32,MIN,SF,2025-26,anderky01
Steven Adams,32,HOU,C,2025-26,adamsst01
Trey Alexander,22,NOP,SG,2025-26,alexatr01
Ochai Agbaji,25,2TM,SG,2025-26,agbajoc01
Ochai Agbaji,25,TOR,SG,2025-26,agbajoc01
Ochai Agbaji,25,BRK,SG,2025-26,agbajoc01
Lonzo Ball,28,CLE,PG,2025-26,balllo01
Patrick Baldwin Jr.,23,3TM,SF,2025-26,baldwpa01
Patrick Baldwin Jr.,23,LAC,SF,2025-26,baldwpa01
Patrick Baldwin Jr.,23,PHI,SF,2025-26,baldwpa01
Patrick Baldwin Jr.,23,SAC,SF,2025-26,baldwpa01
Alex Antetokounmpo,24,MIL,SF,2025-26,antetal01
Mo Bamba,27,2TM,C,2025-26,bambamo01
Mo Bamba,27,TOR,C,2025-26,bambamo01
Mo Bamba,27,UTA,C,2025-26,bambamo01
Thanasis Antetokounmpo,33,MIL,SF,2025-26,antetth01
