Player,Age,Team,Pos,G,GS,MP,PER,ts_pct,three_p_ar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,season,season_type,Tm,Unnamed: 19,Unnamed: 24
Nickeil Alexander-Walker,27,ATL,SG,78,71.0,2603,16.5,0.61,0.526,0.257,2.1,9.1,5.6,15.8,1.9,1.5,10.9,23.9,3.6,2.7,6.3,0.116,1.6,-0.4,1.2,2.1,2025-26,regular,,,
Bam Adebayo,28,MIA,C,73,73.0,2365,18.7,0.551,0.349,0.369,6.5,25.7,16.1,14.1,1.7,1.8,8.3,25.0,2.8,3.6,6.4,0.129,1.5,0.4,2.0,2.4,2025-26,regular,,,
OG Anunoby,28,NYK,PF,67,67.0,2224,15.8,0.62,0.506,0.275,4.3,13.4,8.8,9.2,2.3,2.2,12.0,19.7,3.1,3.2,6.3,0.135,0.9,1.1,2.0,2.3,2025-26,regular,,,
Deni Avdija,25,POR,SF,66,66.0,2199,20.3,0.6,0.369,0.573,3.6,19.0,11.2,32.2,1.1,1.7,16.0,29.3,4.5,2.4,7.0,0.152,3.7,0.6,4.3,3.5,2025-26,regular,,,
LaMelo Ball,24,CHO,PG,72,69.0,2017,19.7,0.546,0.595,0.144,3.7,15.5,9.7,42.6,2.1,0.8,13.2,32.0,3.6,2.6,6.2,0.147,4.8,-0.1,4.7,3.4,2025-26,regular,,,
Ace Bailey,19,UTA,SF,72,61.0,1988,11.6,0.533,0.446,0.099,5.5,11.0,8.2,9.7,1.4,2.4,10.3,21.4,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,2025-26,regular,,,
Deandre Ayton,27,LAL,C,72,72.0,1958,18.2,0.676,0.0,0.235,11.5,22.6,17.2,4.5,1.0,3.3,11.1,16.7,4.0,2.2,6.2,0.152,0.0,-0.9,-0.9,0.6,2025-26,regular,,,
Precious Achiuwa,26,SAC,C,73,57.0,1745,16.2,0.558,0.162,0.232,11.0,20.8,15.8,8.5,1.8,2.6,9.0,17.6,1.8,1.2,2.9,0.081,-0.5,-1.1,-1.6,0.2,2025-26,regular,,,
Jarrett Allen,27,CLE,C,56,56.0,1519,22.1,0.669,0.019,0.494,10.5,24.0,17.2,9.7,1.7,2.9,10.4,19.9,4.2,2.2,6.4,0.202,2.2,0.4,2.6,1.8,2025-26,regular,,,
Grayson Allen,30,PHO,SG,51,27.0,1467,16.1,0.568,0.682,0.252,2.7,9.2,5.9,19.9,2.3,0.8,10.1,23.8,2.3,1.6,3.9,0.127,1.9,0.2,2.1,1.5,2025-26,regular,,,
Jose Alvarado,27,2TM,PG,69,3.0,1370,12.1,0.543,0.639,0.102,2.1,11.6,6.8,23.1,2.3,0.6,14.1,16.8,1.0,1.2,2.2,0.077,-1.3,0.3,-1.0,0.3,2025-26,regular,,,
Jose Alvarado,27,NOP,PG,41,0.0,896,11.1,0.558,0.689,0.086,1.9,11.9,6.9,19.3,2.0,0.4,13.9,15.7,0.5,0.5,1.0,0.055,-1.5,-0.5,-2.0,0.0,2025-26,regular,,,
Jose Alvarado,27,NYK,PG,28,3.0,474,14.0,0.52,0.556,0.13,2.4,11.1,6.7,30.3,3.0,0.9,14.4,18.9,0.5,0.7,1.2,0.119,-0.9,1.8,0.9,0.4,2025-26,regular,,,
Marvin Bagley III,26,2TM,PF,60,12.0,1201,20.2,0.661,0.127,0.35,13.2,19.3,16.3,10.8,1.1,3.1,11.4,18.6,3.0,0.8,3.8,0.15,1.8,-1.0,0.8,0.8,2025-26,regular,,,
Marvin Bagley III,26,WAS,PF,38,8.0,731,20.5,0.667,0.077,0.394,14.0,17.8,15.9,11.7,1.3,3.2,13.2,19.0,1.9,0.3,2.1,0.14,1.8,-1.1,0.7,0.5,2025-26,regular,,,
Marvin Bagley III,26,DAL,PF,22,4.0,470,19.7,0.652,0.2,0.285,12.0,21.7,16.9,9.5,0.8,2.9,8.4,18.0,1.1,0.5,1.6,0.165,1.8,-0.8,1.0,0.3,2025-26,regular,,,
Santi Aldama,25,MEM,PF,43,11.0,1198,16.3,0.572,0.42,0.239,6.0,20.2,13.0,15.7,1.5,2.4,9.5,20.2,1.3,1.0,2.3,0.092,1.3,0.4,1.7,1.1,2025-26,regular,,,
Giannis Antetokounmpo,31,MIL,PF,36,36.0,1039,32.6,0.658,0.075,0.597,10.7,27.4,19.2,38.7,1.6,2.3,13.2,37.0,3.9,1.1,5.0,0.231,7.7,1.8,9.5,3.0,2025-26,regular,,,
Ochai Agbaji,25,2TM,SG,62,13.0,973,8.9,0.525,0.457,0.154,5.3,11.5,8.3,6.8,1.2,1.7,9.4,14.6,0.1,0.8,0.9,0.046,-3.5,-0.5,-4.0,-0.5,2025-26,regular,,,
Ochai Agbaji,25,TOR,SG,42,13.0,650,7.5,0.495,0.382,0.171,5.7,10.9,8.3,6.0,1.3,1.6,9.4,13.3,0.0,0.7,0.6,0.048,-4.8,0.1,-4.7,-0.5,2025-26,regular,,,
Ochai Agbaji,25,BRK,SG,20,0.0,323,11.7,0.572,0.573,0.127,4.4,12.6,8.3,8.5,1.1,1.7,9.4,17.3,0.1,0.1,0.3,0.042,-1.0,-1.7,-2.7,-0.1,2025-26,regular,,,
