player_name,franquia,nota
Jaylen Brown,Baião of two,
Scotty Pippen Jr.,Baurulhos Dinosaurs,por enquanto
Nikola Jokić,Capão da Canoa Sandkings,
Jerami Grant,JF Bagres,
Duncan Robinson,King's Landing Kingslayers,
Ausar Thompson,Kush City Dope,
Peyton Watson,Lobos Comunistas,
Moussa Diabaté,Marujos Basqueteiros,por enquanto
Neemias Queta,Minnesota TimberLaion,
OG Anunoby,Namekusei BallerZ,
Lauri Markkanen,Partizan Beagá,
Jalen Green,Rondonópolis Lobo-Guará,
Cade Cunningham,SantoSpurs,
Kevin Durant,Victory Village,
