prospect_key,nba_team_final,opportunity_mult,note
ajdybantsa,Washington,1.40,rebuild minutos abertos
darrynpeterson,Utah,1.40,rebuild
braydenburries,Milwaukee,1.35,rebuild pos-Giannis
mikelbrownjr,Brooklyn,1.35,rebuild
nateament,Milwaukee,1.35,trocado Miami->Milwaukee
christiananderson,Charlotte,1.25,rebuild atirador
hannessteinbach,Charlotte,1.25,rebuild
cameronboozer,Memphis,1.15,retooling
dariusacuffjr,Sacramento,1.15,SL scoring leader
calebwilson,Chicago,1.10,rebuild
adaymara,OKC,0.70,contender lotado
bennettstirtz,OKC,0.70,enterrado
bradensmith,Indiana,0.85,contender
labaronphilon,Philadelphia,0.85,guard logjam
isaiahevans,Minnesota,0.85,lotado
kingstonflemings,Atlanta,0.95,moderado
tarrisreedjr,Denver,0.85,contender
jaydenquaintance,San Antonio,1.00,Wemby-led
morezjohnson,Dallas,1.05,moderado
