Franchise,Lg,From,To,Yrs,G,W,L,wl_pct,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2025-26,77,6097,3011,3085,.494,49,12,0,1
Atlanta Hawks,NBA,1968-69,2025-26,58,4678,2313,2365,.494,36,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,282,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2025-26,80,6272,3746,2526,.597,62,35,11,18
Brooklyn Nets,NBA/ABA,1967-68,2025-26,59,4770,2072,2698,.434,31,5,2,2
Brooklyn Nets,NBA,2012-13,2025-26,14,1122,490,632,.437,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2025-26,36,2872,1234,1638,.430,10,0,0,0
Charlotte Hornets,NBA,2014-15,2025-26,12,952,399,553,.419,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2025-26,60,4838,2451,2387,.507,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2025-26,56,4512,2144,2368,.475,25,8,5,1
Dallas Mavericks,NBA,1980-81,2025-26,46,3701,1860,1841,.503,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2025-26,59,4772,2466,2306,.517,40,13,1,1
Denver Nuggets,NBA,1976-77,2025-26,50,4028,2053,1975,.510,31,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2025-26,78,6157,2927,3230,.475,44,11,5,3
Detroit Pistons,NBA,1957-58,2025-26,69,5538,2614,2924,.472,36,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2025-26,80,6263,3053,3209,.488,38,12,7,7
Golden State Warriors,NBA,1971-72,2025-26,55,4430,2165,2265,.489,21,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1104,558,545,.506,12,3,0,2
Houston Rockets,NBA,1967-68,2025-26,59,4764,2468,2296,.518,35,9,4,2
Houston Rockets,NBA,1971-72,2025-26,55,4436,2349,2087,.530,34,9,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2025-26,59,4770,2425,2345,.508,38,9,2,3
Indiana Pacers,NBA,1976-77,2025-26,50,4026,1998,2028,.496,29,6,2,0
Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2025-26,56,4519,1932,2587,.428,19,3,0,0
Los Angeles Clippers,NBA,1984-85,2025-26,42,3371,1487,1884,.441,16,3,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2025-26,78,6163,3650,2513,.592,65,34,19,17
Los Angeles Lakers,NBA,1960-61,2025-26,66,5324,3193,2131,.600,54,30,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2025-26,31,2469,1071,1398,.434,14,2,0,0
Memphis Grizzlies,NBA,2001-02,2025-26,25,2009,970,1039,.483,14,2,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1988-89,2025-26,38,3044,1598,1446,.525,26,16,7,3
Milwaukee Bucks,NBA,1968-69,2025-26,58,4683,2467,2216,.527,37,19,3,2
Minnesota Timberwolves,NBA,1989-90,2025-26,37,2952,1242,1710,.421,13,1,0,0
New Orleans Pelicans,NBA,2002-03,2025-26,24,1927,877,1050,.455,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2025-26,13,1041,458,583,.440,4,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
